,timestamp,buyer,seller,symbol,currency,price,quantity
0,0,SUBMISSION,Ruby,AMETHYSTS,SEASHELLS,9999,1
1,0,SUBMISSION,Ruby,AMETHYSTS,SEASHELLS,9999,1
2,0,Remy,SUBMISSION,STARFRUIT,SEASHELLS,5001,1
3,100,Ruby,SUBMISSION,STARFRUIT,SEASHELLS,5002,6
4,900,Rhianna,Valentina,STARFRUIT,SEASHELLS,5001,2
5,1000,,SUBMISSION,AMETHYSTS,SEASHELLS,10002,1
6,1000,SUBMISSION,Ruby,STARFRUIT,SEASHELLS,4998,2
7,1100,SUBMISSION,Remy,STARFRUIT,SEASHELLS,4999,1
8,1400,SUBMISSION,,AMETHYSTS,SEASHELLS,9998,3
9,1500,Remy,SUBMISSION,AMETHYSTS,SEASHELLS,10001,1
10,1500,Remy,SUBMISSION,STARFRUIT,SEASHELLS,5000,1
11,1800,Ruby,SUBMISSION,STARFRUIT,SEASHELLS,5000,7
12,1800,Ruby,Valentina,STARFRUIT,SEASHELLS,5001,3
13,1800,Ruby,Vladimir,STARFRUIT,SEASHELLS,5001,1
14,1800,Remy,Vladimir,STARFRUIT,SEASHELLS,5002,1
15,2000,Remy,SUBMISSION,STARFRUIT,SEASHELLS,5000,1
16,2100,Rhianna,Valentina,STARFRUIT,SEASHELLS,5001,4
17,2200,,SUBMISSION,AMETHYSTS,SEASHELLS,10002,1
18,2500,SUBMISSION,Ruby,STARFRUIT,SEASHELLS,4998,3
19,2500,Valentina,Remy,AMETHYSTS,SEASHELLS,9998,1
20,2500,Valentina,Ruby,STARFRUIT,SEASHELLS,4996,8
21,3000,,SUBMISSION,AMETHYSTS,SEASHELLS,10002,3
22,3200,SUBMISSION,Remy,AMETHYSTS,SEASHELLS,9999,1
23,3200,SUBMISSION,Remy,STARFRUIT,SEASHELLS,4998,1
24,3300,SUBMISSION,Remy,AMETHYSTS,SEASHELLS,9999,2
25,3300,SUBMISSION,Remy,STARFRUIT,SEASHELLS,4998,2
26,3600,Ruby,SUBMISSION,AMETHYSTS,SEASHELLS,10001,6
27,3900,Remy,SUBMISSION,STARFRUIT,SEASHELLS,5000,1
28,4000,SUBMISSION,Rhianna,AMETHYSTS,SEASHELLS,9999,1
29,4200,Ruby,SUBMISSION,AMETHYSTS,SEASHELLS,10001,2
30,4200,Ruby,SUBMISSION,AMETHYSTS,SEASHELLS,10001,1
31,4200,SUBMISSION,Remy,STARFRUIT,SEASHELLS,4999,1
32,4400,Ruby,SUBMISSION,STARFRUIT,SEASHELLS,5000,2
33,4500,SUBMISSION,Ruby,STARFRUIT,SEASHELLS,4998,5
34,4500,Valentina,Ruby,STARFRUIT,SEASHELLS,4997,3
35,4500,Vinnie,Ruby,STARFRUIT,SEASHELLS,4997,1
36,5000,SUBMISSION,,STARFRUIT,SEASHELLS,4998,3
37,5500,,SUBMISSION,STARFRUIT,SEASHELLS,5002,4
38,5800,SUBMISSION,Ruby,STARFRUIT,SEASHELLS,5001,7
39,6500,SUBMISSION,Rhianna,STARFRUIT,SEASHELLS,5001,5
40,6600,Valentina,Remy,STARFRUIT,SEASHELLS,4999,1
41,6700,SUBMISSION,Remy,AMETHYSTS,SEASHELLS,9999,2
42,6700,Valentina,Remy,STARFRUIT,SEASHELLS,4998,2
43,6700,Valentina,Rhianna,STARFRUIT,SEASHELLS,4999,4
44,7100,Valentina,Rhianna,STARFRUIT,SEASHELLS,4999,5
45,7200,Ruby,SUBMISSION,STARFRUIT,SEASHELLS,5002,4
46,7300,SUBMISSION,Remy,STARFRUIT,SEASHELLS,4999,1
47,7400,Remy,SUBMISSION,AMETHYSTS,SEASHELLS,10000,1
48,7400,,SUBMISSION,STARFRUIT,SEASHELLS,5003,1
49,7400,Remy,SUBMISSION,STARFRUIT,SEASHELLS,5003,1
50,7400,Remy,SUBMISSION,STARFRUIT,SEASHELLS,5003,1
51,7500,Remy,Valentina,AMETHYSTS,SEASHELLS,10002,1
52,7800,,SUBMISSION,STARFRUIT,SEASHELLS,5002,1
53,7800,Rhianna,SUBMISSION,STARFRUIT,SEASHELLS,5002,1
54,7800,Rhianna,SUBMISSION,STARFRUIT,SEASHELLS,5002,1
55,8500,SUBMISSION,,AMETHYSTS,SEASHELLS,9998,6
56,8600,Remy,SUBMISSION,AMETHYSTS,SEASHELLS,10000,1
57,8600,Remy,SUBMISSION,STARFRUIT,SEASHELLS,5001,1
58,8700,Remy,SUBMISSION,AMETHYSTS,SEASHELLS,10000,2
59,8700,Adam,Valentina,STARFRUIT,SEASHELLS,5002,9
60,8700,Remy,Valentina,STARFRUIT,SEASHELLS,5004,2
61,8800,Remy,Valentina,STARFRUIT,SEASHELLS,5003,1
62,8800,Remy,Valentina,AMETHYSTS,SEASHELLS,10002,1
63,9600,SUBMISSION,Ruby,AMETHYSTS,SEASHELLS,10000,3
64,10100,SUBMISSION,Remy,AMETHYSTS,SEASHELLS,10000,1
65,10200,SUBMISSION,Remy,AMETHYSTS,SEASHELLS,9999,1
66,10200,SUBMISSION,Remy,STARFRUIT,SEASHELLS,4997,1
67,11100,Remy,SUBMISSION,AMETHYSTS,SEASHELLS,10001,2
68,11100,Amelia,SUBMISSION,STARFRUIT,SEASHELLS,5002,9
69,11100,Amelia,Valentina,STARFRUIT,SEASHELLS,5005,3
70,11100,Remy,Valentina,STARFRUIT,SEASHELLS,5005,2
71,11300,SUBMISSION,Remy,STARFRUIT,SEASHELLS,5000,1
72,11400,SUBMISSION,Remy,STARFRUIT,SEASHELLS,4999,1
73,12000,SUBMISSION,,STARFRUIT,SEASHELLS,4999,2
74,12000,SUBMISSION,Rhianna,STARFRUIT,SEASHELLS,4999,2
75,12000,SUBMISSION,Rhianna,STARFRUIT,SEASHELLS,4999,2
76,13000,SUBMISSION,,AMETHYSTS,SEASHELLS,9998,1
77,13000,SUBMISSION,Remy,AMETHYSTS,SEASHELLS,9998,1
78,13000,Rhianna,Valentina,STARFRUIT,SEASHELLS,5001,2
79,13500,SUBMISSION,,STARFRUIT,SEASHELLS,4998,1
80,13500,SUBMISSION,Remy,STARFRUIT,SEASHELLS,4998,1
81,13600,SUBMISSION,Remy,AMETHYSTS,SEASHELLS,10000,1
82,13900,SUBMISSION,Remy,AMETHYSTS,SEASHELLS,9999,1
83,13900,SUBMISSION,Remy,AMETHYSTS,SEASHELLS,9999,1
84,13900,SUBMISSION,Remy,STARFRUIT,SEASHELLS,5000,2
85,14000,Ruby,SUBMISSION,AMETHYSTS,SEASHELLS,10001,7
86,14300,SUBMISSION,,STARFRUIT,SEASHELLS,4998,1
87,14300,SUBMISSION,Remy,STARFRUIT,SEASHELLS,4998,1
88,15000,SUBMISSION,Remy,STARFRUIT,SEASHELLS,5000,1
89,15100,Ruby,SUBMISSION,AMETHYSTS,SEASHELLS,10001,4
90,15400,Rhianna,SUBMISSION,AMETHYSTS,SEASHELLS,10000,5
91,16100,,SUBMISSION,STARFRUIT,SEASHELLS,5002,1
92,16400,Valentina,SUBMISSION,STARFRUIT,SEASHELLS,4998,6
93,17000,Ruby,SUBMISSION,STARFRUIT,SEASHELLS,5000,8
94,17000,Ruby,Valentina,STARFRUIT,SEASHELLS,5003,1
95,17200,SUBMISSION,,STARFRUIT,SEASHELLS,4997,9
96,17200,SUBMISSION,Remy,STARFRUIT,SEASHELLS,4997,1
97,17300,Remy,SUBMISSION,AMETHYSTS,SEASHELLS,10001,1
98,17400,Amelia,SUBMISSION,STARFRUIT,SEASHELLS,5000,9
99,17400,Amelia,Valentina,STARFRUIT,SEASHELLS,5003,1
100,18000,Ruby,SUBMISSION,STARFRUIT,SEASHELLS,5000,4
101,18100,SUBMISSION,Remy,STARFRUIT,SEASHELLS,4998,1
102,18200,SUBMISSION,Remy,AMETHYSTS,SEASHELLS,9999,1
103,18200,SUBMISSION,Ruby,STARFRUIT,SEASHELLS,4997,3
104,18200,Vladimir,Ruby,STARFRUIT,SEASHELLS,4996,5
105,18300,SUBMISSION,Remy,AMETHYSTS,SEASHELLS,9999,1
106,18300,Remy,SUBMISSION,AMETHYSTS,SEASHELLS,10001,2
107,18300,Remy,SUBMISSION,STARFRUIT,SEASHELLS,4999,2
108,18500,Ruby,SUBMISSION,AMETHYSTS,SEASHELLS,10001,4
